item_number,target,key,test,,,,,,,,,,,,,,,,,,,,,,
1,candle,NA,offline,,,,,,,,,,,,,,,,,,,,,,
2,ghost,NA,offline,,,,,,,,,,,,,,,,,,,,,,
3,dinosaur,NA,offline,,,,,,,,,,,,,,,,,,,,,,
4,tree,NA,offline,,,,,,,,,,,,,,,,,,,,,,
5,pen,NA,offline,,,,,,,,,,,,,,,,,,,,,,
6,scissors,NA,offline,,,,,,,,,,,,,,,,,,,,,,
7,cane,NA,offline,,,,,,,,,,,,,,,,,,,,,,
8,comb,NA,offline,,,,,,,,,,,,,,,,,,,,,,
9,thermometer,NA,offline,,,,,,,,,,,,,,,,,,,,,,
10,well,NA,offline,,,,,,,,,,,,,,,,,,,,,,
11,grapes,NA,offline,,,,,,,,,,,,,,,,,,,,,,
12,strawberries,NA,offline,,,,,,,,,,,,,,,,,,,,,,
13,bread,NA,offline,,,,,,,,,,,,,,,,,,,,,,
14,football,NA,offline,,,,,,,,,,,,,,,,,,,,,,
15,pig,NA,offline,,,,,,,,,,,,,,,,,,,,,,
16,apple,NA,offline,,,,,,,,,,,,,,,,,,,,,,
17,hand,NA,offline,,,,,,,,,,,,,,,,,,,,,,
18,towel,NA,offline,,,,,,,,,,,,,,,,,,,,,,
19,lion,NA,offline,,,,,,,,,,,,,,,,,,,,,,
20,glass,NA,offline,,,,,,,,,,,,,,,,,,,,,,
21,fork,NA,offline,,,,,,,,,,,,,,,,,,,,,,
22,plant,NA,offline,,,,,,,,,,,,,,,,,,,,,,
23,garage,NA,offline,,,,,,,,,,,,,,,,,,,,,,
24,can,NA,offline,,,,,,,,,,,,,,,,,,,,,,
25,table,NA,offline,,,,,,,,,,,,,,,,,,,,,,
26,waterfall,NA,offline,,,,,,,,,,,,,,,,,,,,,,
27,king,NA,offline,,,,,,,,,,,,,,,,,,,,,,
28,boot,NA,offline,,,,,,,,,,,,,,,,,,,,,,
29,foot,NA,offline,,,,,,,,,,,,,,,,,,,,,,
30,chair,NA,offline,,,,,,,,,,,,,,,,,,,,,,
31,banana,NA,offline,,,,,,,,,,,,,,,,,,,,,,
32,ring,NA,offline,,,,,,,,,,,,,,,,,,,,,,
33,dice,NA,offline,,,,,,,,,,,,,,,,,,,,,,
34,calendar,NA,offline,,,,,,,,,,,,,,,,,,,,,,
35,knife,NA,offline,,,,,,,,,,,,,,,,,,,,,,
36,vest,NA,offline,,,,,,,,,,,,,,,,,,,,,,
37,turkey,NA,offline,,,,,,,,,,,,,,,,,,,,,,
38,rake,NA,offline,,,,,,,,,,,,,,,,,,,,,,
39,balloon,NA,offline,,,,,,,,,,,,,,,,,,,,,,
40,duck,NA,offline,,,,,,,,,,,,,,,,,,,,,,
41,fireplace,NA,offline,,,,,,,,,,,,,,,,,,,,,,
42,pineapple,NA,offline,,,,,,,,,,,,,,,,,,,,,,
43,fan,NA,offline,,,,,,,,,,,,,,,,,,,,,,
44,window,NA,offline,,,,,,,,,,,,,,,,,,,,,,
45,lamp,NA,offline,,,,,,,,,,,,,,,,,,,,,,
46,drum,NA,offline,,,,,,,,,,,,,,,,,,,,,,
47,skull,NA,offline,,,,,,,,,,,,,,,,,,,,,,
48,bridge,NA,offline,,,,,,,,,,,,,,,,,,,,,,
49,eskimo,NA,offline,,,,,,,,,,,,,,,,,,,,,,
50,dog,NA,offline,,,,,,,,,,,,,,,,,,,,,,
51,iron,NA,offline,,,,,,,,,,,,,,,,,,,,,,
52,cheerleaders,NA,offline,,,,,,,,,,,,,,,,,,,,,,
53,snake,NA,offline,,,,,,,,,,,,,,,,,,,,,,
54,ambulance,NA,offline,,,,,,,,,,,,,,,,,,,,,,
55,carrot,NA,offline,,,,,,,,,,,,,,,,,,,,,,
56,sailor,NA,offline,,,,,,,,,,,,,,,,,,,,,,
57,book,NA,offline,,,,,,,,,,,,,,,,,,,,,,
58,bus,NA,offline,,,,,,,,,,,,,,,,,,,,,,
59,map,NA,offline,,,,,,,,,,,,,,,,,,,,,,
60,squirrel,NA,offline,,,,,,,,,,,,,,,,,,,,,,
61,microscope,NA,offline,,,,,,,,,,,,,,,,,,,,,,
62,bowl,NA,offline,,,,,,,,,,,,,,,,,,,,,,
63,van,NA,offline,,,,,,,,,,,,,,,,,,,,,,
64,helicopter,NA,offline,,,,,,,,,,,,,,,,,,,,,,
65,bottle,NA,offline,,,,,,,,,,,,,,,,,,,,,,
66,scarf,NA,offline,,,,,,,,,,,,,,,,,,,,,,
67,ball,NA,offline,,,,,,,,,,,,,,,,,,,,,,
68,frog,NA,offline,,,,,,,,,,,,,,,,,,,,,,
69,cow,NA,offline,,,,,,,,,,,,,,,,,,,,,,
70,beard,NA,offline,,,,,,,,,,,,,,,,,,,,,,
71,glove,NA,offline,,,,,,,,,,,,,,,,,,,,,,
72,owl,NA,offline,,,,,,,,,,,,,,,,,,,,,,
73,pipe,NA,offline,,,,,,,,,,,,,,,,,,,,,,
74,scale,NA,offline,,,,,,,,,,,,,,,,,,,,,,
75,tent,NA,offline,,,,,,,,,,,,,,,,,,,,,,
76,flashlight,NA,offline,,,,,,,,,,,,,,,,,,,,,,
77,camel,NA,offline,,,,,,,,,,,,,,,,,,,,,,
78,goat,NA,offline,,,,,,,,,,,,,,,,,,,,,,
79,fish,NA,offline,,,,,,,,,,,,,,,,,,,,,,
80,cannon,NA,offline,,,,,,,,,,,,,,,,,,,,,,
81,shoe,NA,offline,,,,,,,,,,,,,,,,,,,,,,
82,sandwich,NA,offline,,,,,,,,,,,,,,,,,,,,,,
83,spider,NA,offline,,,,,,,,,,,,,,,,,,,,,,
84,belt,NA,offline,,,,,,,,,,,,,,,,,,,,,,
85,toilet,NA,offline,,,,,,,,,,,,,,,,,,,,,,
86,wagon,NA,offline,,,,,,,,,,,,,,,,,,,,,,
87,ruler,NA,offline,,,,,,,,,,,,,,,,,,,,,,
88,tractor,NA,offline,,,,,,,,,,,,,,,,,,,,,,
